trade_id,direction,entry_time,exit_time,entry_price,signal_entry_price,initial_stop_price,final_stop_price_at_exit,target_price,entry_regime_score,target_rr,trail_style,risk_regime,risk_per_trade,notional,original_exit_reason,original_signal_exit_price,original_exit_price,gross_pnl,fees,slippage_cost,pnl,pnl_pct,rr_ratio,obi_start_timestamp_ms,obi_end_timestamp_ms,stop_update_count
225,BULL,2024-07-19 01:45,2024-07-21 20:15,63849.909,63818.0,62992.0325,65136.72375,68139.29149999999,3,5.5,loose,bull_strong,0.06,11409.010952820407,target_rr,68139.29149999999,68105.22185424999,760.3599084505447,11.789190907045679,11.78938394436901,748.5707175434991,0.29300268433669924,4.8833780722783215,1721353500000,1721592900000,2
226,BULL,2024-07-21 21:45,2024-07-22 14:15,68225.49569999998,68191.4,66890.09000000001,66890.09000000001,75570.22704999984,4,5.5,loose,bull_strong,0.06,10126.174015069344,stop_loss,66890.09000000001,66856.64495500001,-203.1677557240094,10.024590137207339,10.024541851402557,-213.19234586121672,-0.06453732294212172,-1.075622049035362,1721598300000,1721657700000,0
227,BULL,2024-07-22 18:45,2024-07-23 05:15,67490.02815,67456.3,66726.26375,66726.26375,71690.73235,4,5.5,loose,bull_strong,0.06,15451.019154175214,stop_loss,66726.26375,66692.900618125,-182.49263040677815,15.359772838971825,15.359731055745385,-197.85240324574997,-0.06402568053003992,-1.0670946755006654,1721673900000,1721711700000,0
228,BULL,2024-07-23 21:00,2024-07-25 01:00,65935.7514,65902.8,64844.385,64844.385,71938.26659999994,4,5.5,loose,bull_strong,0.06,10484.61990533871,stop_loss,64844.385,64811.96280750001,-178.69662506519842,10.395271592806111,10.395229517454926,-189.09189665800454,-0.06537652888729645,-1.0896088147882743,1721768400000,1721869200000,0
229,BULL,2024-07-26 08:30,2024-07-27 20:15,67130.9487,67097.4,66154.6,67130.9487,72012.69219999993,4,5.5,loose,bull_strong,0.06,11152.104379945606,stop_loss,67130.9487,67097.38322565,-5.576052189971281,11.149316353850619,11.149317747165384,-16.7253685438219,-0.00618711165259812,-0.103118527543302,1721982600000,1722111300000,1
230,BULL,2024-07-27 21:00,2024-07-28 00:00,68571.26849999999,68537.0,67694.21125000001,67694.21125000001,73395.0833749999,4,5.5,loose,bull_strong,0.06,12602.533441243228,stop_loss,67694.21125000001,67660.36414437501,-167.41272043899767,12.51882708102373,12.518788357538735,-179.9315475200214,-0.06697534319091629,-1.116255719848605,1722114000000,1722124800000,0
231,BULL,2024-07-28 16:15,2024-07-29 15:15,67696.6314,67662.8,66905.1,67696.6314,71654.28839999996,4,5.5,loose,bull_strong,0.06,12533.013074337225,stop_loss,67696.6314,67662.7830843,-6.266506537168792,12.52987982106864,12.529881386911697,-18.79638635823743,-0.0074987500000000705,-0.12497916666666786,1722183300000,1722266100000,1
232,BEAR,2024-07-31 18:15,2024-08-01 22:15,66162.00245000001,66195.1,67475.2275,65505.389925000025,61565.71477500009,2,3.5,normal,bull_weak,0.025,3133.473614932835,stop_loss,65505.389925000025,65538.14261996253,29.54638983782674,3.118700420013922,3.1187085862882373,26.427689417812818,0.010622888999538095,0.42491555998152375,1722449700000,1722550500000,2
233,BULL,2024-08-02 00:00,2024-08-02 02:15,65470.5189,65437.8,64369.7925,64369.7925,70974.15090000001,2,5.0,normal,bull_weak,0.025,3738.626584287025,stop_loss,64369.7925,64337.60760375001,-64.69373331634458,3.7062797176288527,3.7062644707612593,-68.40001303397344,-0.02720511108623062,-1.0882044434492246,1722556800000,1722564900000,0
234,BEAR,2024-08-02 08:00,2024-08-02 13:30,64063.952000000005,64096.0,65014.649999999994,65014.649999999994,60736.50900000004,2,3.5,normal,bull_weak,0.025,4120.388017094875,stop_loss,65014.649999999994,65047.15732499999,-63.23661455468471,4.152006324372218,4.1519915532160745,-67.38862087905693,-0.02755241095654193,-1.1020964382616771,1722585600000,1722605400000,0
235,BEAR,2024-08-03 00:15,2024-08-03 21:45,61513.4279,61544.2,62506.08,60768.938825000005,59528.123700000004,2,2.0,tight,bear_weak,0.015,2210.8398676478355,stop_loss,60768.938825000005,60799.323294412505,25.66546826605599,2.1980071335148077,2.198014099385209,23.46746113254118,0.009866723144850424,0.6577815429900283,1722644100000,1722721500000,2
236,BEAR,2024-08-03 23:30,2024-08-04 14:45,60763.603,60794.0,61467.963749999995,60235.33243750001,59354.88150000002,2,2.0,tight,bear_weak,0.015,3108.1134025439146,target_rr,59354.88150000002,59384.558940750016,70.5393543443013,3.072843725371764,3.072862128425632,67.46651061892953,0.028088660071127456,1.872577338075164,1722727800000,1722782700000,2
237,BEAR,2024-08-04 21:00,2024-08-05 01:00,58902.234150000004,58931.7,60196.1625,58902.234150000004,53079.556575000024,3,4.5,loose,bear_strong,0.02,2248.22271075907,target_rr,53079.556575000024,53106.096353287525,221.23114373002153,2.13760713889406,2.1376629810955032,219.09353659112747,0.08872413424531363,4.436206712265681,1722805200000,1722819600000,1
238,BEAR,2024-08-05 10:00,2024-08-05 14:00,51909.532250000004,51935.5,53405.42625,53405.42625,45178.00925000003,4,4.5,loose,bear_strong,0.02,1865.8723829105884,stop_loss,53405.42625,53432.128963125,-54.72927676651063,1.8932370212938436,1.8932238122804568,-56.62251378780447,-0.021061218826087445,-1.0530609413043721,1722852000000,1722866400000,0
239,BEAR,2024-08-05 18:15,2024-08-05 21:00,53896.6382,53923.6,54820.49625,54820.49625,49739.27697500002,4,4.5,loose,bear_strong,0.02,3070.7722308766315,stop_loss,54820.49625,54847.90649812499,-54.19871018959934,3.097871585971431,3.0978588107580807,-57.29658177557077,-0.021770456413169898,-1.088522820658495,1722881700000,1722891600000,0
240,BEAR,2024-08-07 23:15,2024-08-08 01:30,55154.30905,55181.9,56209.545,56209.545,50405.74727500003,4,4.5,loose,bear_strong,0.02,2691.298192764445,stop_loss,56209.545,56237.64977249999,-52.8624685692142,2.717729427049052,2.717716890860805,-55.58019799626325,-0.021588284627930766,-1.0794142313965382,1723072500000,1723080600000,0
241,BEAR,2024-08-09 15:00,2024-08-10 00:15,60178.4957,60208.6,61206.33375,61206.33375,58122.8196,2,2.0,tight,bear_weak,0.015,2212.2361961463644,stop_loss,61206.33375,61236.936916875,-38.90961288126842,2.2316910025869987,2.2316818331042083,-41.14130388385542,-0.01633256717607562,-1.0888378117383746,1723215600000,1723248900000,0
242,BEAR,2024-08-11 16:30,2024-08-12 14:30,60155.90700000001,60186.0,61145.28,60155.90700000001,55703.72850000004,3,4.5,loose,bear_strong,0.02,3013.1455594361105,stop_loss,60155.90700000001,60185.9849535,-1.5065727797178803,3.0138988458259695,3.0138992226570784,-4.52047162554385,-0.0018243655219365642,-0.09121827609682821,1723393800000,1723473000000,1
243,BEAR,2024-08-12 21:00,2024-08-13 00:30,58773.39860000001,58802.8,59774.456249999996,59774.456249999996,54268.63917500006,4,4.5,loose,bear_strong,0.02,2904.2270597469364,stop_loss,59774.456249999996,59804.34347812499,-50.94308111285702,2.929698600303365,2.929686596954166,-53.87277971316039,-0.021781637634237287,-1.0890818817118644,1723496400000,1723509000000,0
244,BEAR,2024-08-13 13:15,2024-08-13 14:15,58908.7309,58938.2,59597.67375,59597.67375,55808.488075,4,4.5,loose,bear_strong,0.02,4137.529772055959,stop_loss,59597.67375,59627.472586874996,-50.481738146951095,4.162770641129435,4.162759061383867,-54.64450878808053,-0.022585611814345163,-1.1292805907172583,1723554900000,1723558500000,0
245,BEAR,2024-08-14 23:45,2024-08-15 14:00,58655.8574,58685.2,59650.424999999996,59650.424999999996,54180.303200000024,4,4.5,loose,bear_strong,0.02,2789.3336792218065,stop_loss,59650.424999999996,59680.250212499996,-48.71420347968496,2.8136907809616494,2.813679305830426,-51.52789426064661,-0.021789587078972824,-1.0894793539486411,1723679100000,1723730400000,0
